iter	Passed	Remaining
0	139	13799
1	140	6876
2	141	4564
3	141	3404
4	142	2711
5	143	2255
6	144	1922
7	145	1672
8	146	1477
9	147	1323
10	147	1196
11	148	1089
12	149	1000
13	150	924
14	151	856
15	151	796
16	152	744
17	153	698
18	154	656
19	154	618
20	155	585
21	156	554
22	156	525
23	157	499
24	158	475
25	159	453
26	160	432
27	160	413
28	161	395
29	162	378
30	162	362
31	163	347
32	164	333
33	165	320
34	166	308
35	166	296
36	167	284
37	168	274
38	168	263
39	169	254
40	170	245
41	171	236
42	171	227
43	171	218
44	172	211
45	173	203
46	174	196
47	174	189
48	175	182
49	176	176
50	176	169
51	177	163
52	178	158
53	178	152
54	179	146
55	180	141
56	181	136
57	181	131
58	182	127
59	183	122
60	184	117
61	184	113
62	185	109
63	186	104
64	187	100
65	187	96
66	188	92
67	189	89
68	189	85
69	190	81
70	191	78
71	191	74
72	192	71
73	193	67
74	193	64
75	195	61
76	195	58
77	196	55
78	196	52
79	197	49
80	198	46
81	199	43
82	199	40
83	200	38
84	201	35
85	201	32
86	202	30
87	203	27
88	203	25
89	204	22
90	204	20
91	205	17
92	206	15
93	207	13
94	207	10
95	208	8
96	208	6
97	209	4
98	210	2
99	211	0
