iter	Passed	Remaining
0	109	109828
1	110	55319
2	111	37024
3	112	27910
4	112	22448
5	113	18808
6	114	16206
7	114	14241
8	115	12738
9	116	11541
10	117	10553
11	118	9734
12	119	9039
13	119	8440
14	120	7917
15	121	7457
16	121	7052
17	122	6694
18	123	6371
19	124	6091
20	125	5850
21	126	5631
22	127	5412
23	128	5209
24	128	5023
25	129	4849
26	130	4690
27	130	4540
28	131	4399
29	132	4289
30	133	4169
31	134	4053
32	134	3939
33	135	3837
34	135	3743
35	136	3653
36	137	3567
37	137	3486
38	138	3407
39	138	3334
40	139	3271
41	140	3209
42	142	3165
43	143	3109
44	143	3050
45	144	2999
46	145	2950
47	146	2905
48	147	2861
49	148	2818
50	149	2774
51	149	2729
52	150	2687
53	151	2646
54	151	2607
55	152	2571
56	153	2536
57	154	2501
58	154	2466
59	155	2436
60	156	2405
61	157	2375
62	157	2345
63	158	2314
64	158	2286
65	159	2258
66	160	2230
67	160	2205
68	161	2179
69	162	2156
70	163	2133
71	163	2111
72	164	2090
73	165	2067
74	165	2047
75	166	2027
76	167	2007
77	168	1987
78	168	1969
79	169	1949
80	170	1930
81	170	1912
82	171	1891
83	171	1874
84	172	1858
85	173	1842
86	174	1833
87	175	1817
88	176	1803
89	176	1787
90	177	1772
91	178	1757
92	178	1744
93	179	1729
94	180	1715
95	180	1701
96	181	1688
97	182	1676
98	182	1663
99	183	1650
100	183	1636
101	184	1625
102	185	1614
103	186	1602
104	186	1591
105	187	1580
106	187	1568
107	188	1558
108	189	1547
109	189	1536
110	190	1526
111	191	1516
112	191	1506
113	192	1497
114	193	1486
115	193	1477
116	194	1469
117	195	1461
118	196	1452
119	196	1443
120	197	1435
121	198	1426
122	198	1417
123	199	1409
124	200	1401
125	200	1392
126	201	1383
127	201	1375
128	202	1367
129	203	1359
130	203	1351
131	204	1345
132	205	1338
133	205	1330
134	206	1323
135	207	1316
136	207	1309
137	208	1303
138	209	1296
139	209	1288
140	210	1281
141	210	1273
142	211	1266
143	211	1259
144	212	1253
145	213	1246
146	213	1240
147	214	1234
148	215	1228
149	215	1222
150	216	1216
151	217	1211
152	217	1205
153	218	1199
154	219	1194
155	219	1189
156	220	1183
157	220	1177
158	221	1172
159	222	1167
160	222	1160
161	223	1155
162	224	1153
163	225	1148
164	226	1143
165	226	1138
166	227	1134
167	228	1129
168	228	1124
169	229	1119
170	229	1114
171	230	1109
172	231	1104
173	231	1099
174	232	1095
175	232	1090
176	233	1085
177	234	1081
178	234	1076
179	235	1071
180	236	1068
181	236	1063
182	237	1059
183	238	1055
184	238	1050
185	239	1046
186	239	1042
187	240	1038
188	240	1034
189	241	1030
190	242	1026
191	243	1022
192	243	1019
193	244	1014
194	244	1011
195	245	1007
196	246	1003
197	246	999
198	247	995
199	247	991
200	248	987
201	249	984
202	249	980
203	250	976
204	250	972
205	251	968
206	252	965
207	252	962
208	253	958
209	253	955
210	254	951
211	255	948
212	255	945
213	256	942
214	257	939
215	257	935
216	258	932
217	259	929
218	259	926
219	260	923
220	261	920
221	261	916
222	262	913
223	262	911
224	263	908
225	264	906
226	265	903
227	266	901
228	266	898
229	267	896
230	268	893
231	269	890
232	269	888
233	270	885
234	271	882
235	271	879
236	272	877
237	272	873
238	273	870
239	274	868
240	274	865
241	275	862
242	276	859
243	276	857
244	277	854
245	278	852
246	278	849
247	279	847
248	280	844
249	280	842
250	281	839
251	282	837
252	282	834
253	283	831
254	283	829
255	284	826
256	285	824
257	285	822
258	286	819
259	287	817
260	287	815
261	288	812
262	289	810
263	289	807
264	290	805
265	290	802
266	291	800
267	292	797
268	292	795
269	293	793
270	293	790
271	294	788
272	294	785
273	295	783
274	296	780
275	296	778
276	297	776
277	298	774
278	298	772
279	299	770
280	300	768
281	300	765
282	301	763
283	301	761
284	302	758
285	303	756
286	303	754
287	304	752
288	305	750
289	305	748
290	306	746
291	307	744
292	307	742
293	308	740
294	308	738
295	309	735
296	310	733
297	310	731
298	311	729
299	311	727
300	312	725
301	313	723
302	313	721
303	314	720
304	315	719
305	316	717
306	316	715
307	317	713
308	318	712
309	319	711
310	320	710
311	321	708
312	321	706
313	322	704
314	323	702
315	323	700
316	324	699
317	325	697
318	325	695
319	327	695
320	327	693
321	328	691
322	329	689
